x,y,z,y-coordinate,x_velocity,y_velocity,z_velocity
337.13849,-4682.498,-3448,-4682.9146,,0,0
337.13849,-4672.3647,-3448,-4672.7715,,0,0
337.13849,-4661.7153,-3448,-4662.1152,,0,0
337.13849,-4650.5439,-3448,-4650.9331,,0,0
337.13849,-4638.814,-3448,-4639.1919,,0,0
337.13849,-4626.4854,-3448,-4626.8555,,0,0
337.13849,-4613.5537,-3448,-4613.9111,,0,0
337.13849,-4599.9746,-3448,-4600.3193,,0,0
337.13849,-4585.7031,-3448,-4586.0396,,0,0
337.13849,-4570.7334,-3448,-4571.0547,,0,0
337.13849,-4555.0142,-3448,-4555.3213,,0,0
337.13849,-4538.4922,-3448,-4538.7905,,0,0
337.13849,-4521.1636,-3448,-4521.4448,,0,0
337.13849,-4502.9668,-3448,-4503.231,,0,0
337.13849,-4483.8403,-3448,-4484.0947,,0,0
337.13849,-4463.7568,-3448,-4464.0015,,0,0
337.13849,-4442.6851,-3448,-4442.9126,,0,0
337.13849,-4420.5581,-3448,-4420.7695,,0,0
337.13849,-4397.5684,-3448,-4397.4355,,0,0
337.13846,-4374.3008,-3448,-4374.1587,,0,0
337.13849,-4351.082,-3448,-4350.9585,,0,0
337.13849,-4327.8975,-3448,-4327.7788,,0,0
337.13849,-4864.5527,-3447,-4865.2051,,0,0
337.13849,-4863.5303,-3447,-4864.1816,,0,0
